index;NO_MUNICIPIO;NO_ENTIDADE;IN_BIBLIOTECA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_PISCINA;IN_QUADRA_ESPORTES;IN_REFEITORIO;IN_SALA_ATELIE_ARTES;IN_SALA_LEITURA;IN_ACESSIBILIDADE_ELEVADOR;IN_INTERNET_APRENDIZAGEM;IN_ACESSO_INTERNET_COMPUTADOR;QT_PROF_PSICOLOGO;Código da Escola;Rede;IDEB
877;Rio de Janeiro;0209021 ESCOLA MUNICIPAL PRESIDENTE JOAO GOULART; true; true; true;false;true;true;false;true;false;false;true;0;33068372;Municipal;4,5
878;Rio de Janeiro;0209018 ESCOLA MUNICIPAL RODRIGO MELLO FRANCO ANDRADE;false;false; true;false;true;true;true;true;false;true;true;0;33068402;Municipal;5,8
879;Rio de Janeiro;0430503 CIEP LEONEL DE MOURA BRIZOLA;false;false; true;false;true;true;false;true;false;true;true;0;33068720;Estadual;5,5
880;Rio de Janeiro;0430502 CIEP ELIS REGINA; true;false; true;false;true;true;false;true;false;false;false;0;33068739;Estadual;4,7
881;Rio de Janeiro;0430206 CIEP HELIO SMIDT; true;false; true;false;true;true;false;true;false;false;false;0;33068747;Estadual;4,7
882;Rio de Janeiro;0410002 ESCOLA MUNICIPAL ALBINO SOUZA CRUZ; true;false; true;false;false;true;false;true;false;true;false;0;33069093;Municipal;4,9
883;Rio de Janeiro;0410013 ESCOLA MUNICIPAL CARLOS CHAGAS;false;false;false;false;true;true;false;true;false;false;false;0;33069166;Municipal;5,2
884;Rio de Janeiro;0410015 ESCOLA MUNICIPAL CLOVIS BEVILAQUA; true;false; true;false;true;true;false;true;true;false;true;0;33069190;Municipal;6,2
885;Rio de Janeiro;0312005 ESCOLA MUNICIPAL D JOAO VI;false;false; true;false;true;true;false;true;false;false;true;0;33069212;Municipal;6,1
886;Rio de Janeiro;0410011 ESCOLA MUNICIPAL EDMUNDO LINS;false;false; true;false;false;true;false;true;false;true;true;0;33069239;Municipal;6,8
887;Rio de Janeiro;0410001 ESCOLA MUNICIPAL EMA NEGRAO DE LIMA;false;false; true;false;false;true;false;true;false;false;true;0;33069247;Municipal;5,3
888;Rio de Janeiro;0430004 ESCOLA MUNICIPAL IV CENTENARIO; true;false;false;false;false;true;false;true;true;false;false;0;33069263;Municipal;5,1
889;Rio de Janeiro;0410023 ESCOLA MUNICIPAL LUIZ CESAR SAYAO GARCEZ;false;false;false;false;true;true;true;true;false;true;true;0;33069301;Municipal;5,6
890;Rio de Janeiro;0410010 ESCOLA MUNICIPAL NERVAL DE GOUVEIA;false; true; true;false;true;true;false;true;false;true;true;0;33069328;Municipal;5,5
